cell_id,group,cycle,max_capacity_Ah,max_energy_Wh,voltage_max,voltage_min,voltage_mean,temp_mean,temp_max,duration_s,current_mean,current_std
002-4,G2,101,49.775236,156.241124,3.500092,2.5,3.1388795818688977,45.282175732217574,46.1,3583.9,-49.98345847001395,0.835065295698841
002-4,G2,151,48.710333,153.091705,3.431964,2.5,3.142710292390994,44.60889142205757,45.6,3507.2,-49.98301243260188,0.8439971386038456
002-4,G2,201,47.815875,150.149165,3.425966,2.5,3.1400720360046455,44.60783972125435,45.5,3442.8,-49.98284496835076,0.8518618371682215
002-4,G2,251,47.101958,146.73553,3.474717,2.5,3.1151157839669907,44.72119068670793,45.8,3391.3,-49.98270721367521,0.8582201217216546
002-4,G2,301,45.947505,142.271319,3.483176,2.5,3.096226244108762,46.140120845921444,47.5,3308.3,-49.98212177220544,0.8693206759999724
002-4,G2,351,44.397047,137.684007,3.344765,2.5,3.101080220450281,42.33314571607255,46.1,3196.7,-49.98177750875548,0.884019534200938
002-4,G2,401,43.331493,135.544259,3.457339,2.5,3.1280218756808718,45.49612303748798,46.5,3120.0,-49.981341907721884,0.8948232879667424
002-4,G2,451,41.066536,130.053303,3.452725,2.5,3.1668000926301554,44.851926977687626,45.6,2956.9,-49.98043813894524,0.9192150269359817
002-4,G2,501,37.500452,117.89038,3.392901,2.5,3.1435132338142804,44.20170181280059,45.8,2700.1,-49.96038848575659,1.3596758171383494
002-4,G2,551,34.657181,108.866851,3.445958,2.5,3.141026563075691,44.82490989187025,45.7,2495.4,-49.977376866239496,1.000550627716347
002-5,G3,1,53.615335,170.328465,3.366757,2.5,3.1764618664596274,44.68115942028985,46.5,1930.2,-99.94278001190477,2.274831663378008
002-5,G3,51,53.004944,168.007878,3.452725,2.5,3.1692975319371732,44.638743455497384,46.0,1908.2,-99.94242694712041,2.2880272206798966
002-5,G3,101,53.016855,168.069581,3.517932,2.5,3.1699175240837696,44.72942408376963,45.6,1908.7,-99.94221053612564,2.2878959793244316
002-5,G3,151,52.127059,164.741233,3.475947,2.5,3.160159608626198,44.74243876464324,45.9,1876.6,-99.94160543610224,2.307439886865159
002-5,G3,201,51.965888,164.181106,3.524852,2.5,3.159261449786325,44.435309829059825,45.3,1870.8,-99.94144793536326,2.3112641625269386
002-5,G3,251,51.624106,162.801106,3.541923,2.5,3.1533517333333334,44.37,45.2,1858.5,-99.94103729247313,2.3187477769710343
002-5,G3,301,51.22029,161.350526,3.52516,2.5,3.1500488449864497,44.46308943089431,45.1,1844.0,-99.94060000704606,2.328198372578211
002-5,G3,351,50.968452,160.431506,3.543768,2.5,3.1475685980392156,44.60239651416122,45.3,1834.9,-99.9402012690632,2.3338507836718625
